,Código Departamento,Nombre Departamento,Área,Año,Hogares
10,25,Cundinamarca,Total,Unnamed: 0,30
44,27,Chocó,Total,1993,52825
77,27,Chocó,Total,1994,55883
110,27,Chocó,Total,1995,58910
143,27,Chocó,Total,1996,61999
176,27,Chocó,Total,1997,65112
209,27,Chocó,Total,1998,68335
242,27,Chocó,Total,1999,71601
275,27,Chocó,Total,2000,74988
308,27,Chocó,Total,2001,78426
341,27,Chocó,Total,2002,81865
374,27,Chocó,Total,2003,85399
407,27,Chocó,Total,2004,89054
440,27,Chocó,Total,2005,92898
473,27,Chocó,Total,2006,96846
506,27,Chocó,Total,2007,100831
539,27,Chocó,Total,2008,104862
572,27,Chocó,Total,2009,109010
605,27,Chocó,Total,2010,113240
638,27,Chocó,Total,2011,117636
671,27,Chocó,Total,2012,122245
704,27,Chocó,Total,2013,127126
737,27,Chocó,Total,2014,132271
770,27,Chocó,Total,2015,137809
803,27,Chocó,Total,2016,143653
836,27,Chocó,Total,2017,149877
869,27,Chocó,Total,2018,156425
902,27,Chocó,Total,2019,161035
935,27,Chocó,Total,2020,165699
968,27,Chocó,Total,2021,170294
1001,27,Chocó,Total,2022,174877
1034,27,Chocó,Total,2023,179373
1067,27,Chocó,Total,2024,183837
11,27,Chocó,Total,Unnamed: 0,33
45,41,Huila,Total,1993,173213
78,41,Huila,Total,1994,179739
111,41,Huila,Total,1995,186105
144,41,Huila,Total,1996,192320
177,41,Huila,Total,1997,198366
210,41,Huila,Total,1998,204226
243,41,Huila,Total,1999,209901
276,41,Huila,Total,2000,215393
309,41,Huila,Total,2001,220754
342,41,Huila,Total,2002,225959
375,41,Huila,Total,2003,231126
408,41,Huila,Total,2004,236291
441,41,Huila,Total,2005,241609
474,41,Huila,Total,2006,247022
507,41,Huila,Total,2007,252608
540,41,Huila,Total,2008,258357
573,41,Huila,Total,2009,264388
606,41,Huila,Total,2010,270725
639,41,Huila,Total,2011,277418
672,41,Huila,Total,2012,284434
705,41,Huila,Total,2013,291804
738,41,Huila,Total,2014,299638
771,41,Huila,Total,2015,308019
804,41,Huila,Total,2016,317088
837,41,Huila,Total,2017,326898
870,41,Huila,Total,2018,337764
903,41,Huila,Total,2019,346048
936,41,Huila,Total,2020,354477
969,41,Huila,Total,2021,362828
1002,41,Huila,Total,2022,371269
1035,41,Huila,Total,2023,379803
1068,41,Huila,Total,2024,386986
12,41,Huila,Total,Unnamed: 0,36
46,44,La Guajira,Total,1993,90698
79,44,La Guajira,Total,1994,93751
112,44,La Guajira,Total,1995,96738
145,44,La Guajira,Total,1996,99638
178,44,La Guajira,Total,1997,102496
211,44,La Guajira,Total,1998,105376
244,44,La Guajira,Total,1999,108209
277,44,La Guajira,Total,2000,111016
310,44,La Guajira,Total,2001,113799
343,44,La Guajira,Total,2002,116631
376,44,La Guajira,Total,2003,119622
409,44,La Guajira,Total,2004,122874
442,44,La Guajira,Total,2005,126531
475,44,La Guajira,Total,2006,130805
508,44,La Guajira,Total,2007,135621
541,44,La Guajira,Total,2008,141017
574,44,La Guajira,Total,2009,146997
607,44,La Guajira,Total,2010,153597
640,44,La Guajira,Total,2011,160771
673,44,La Guajira,Total,2012,168595
706,44,La Guajira,Total,2013,177193
739,44,La Guajira,Total,2014,186566
772,44,La Guajira,Total,2015,196960
805,44,La Guajira,Total,2016,209113
838,44,La Guajira,Total,2017,223523
871,44,La Guajira,Total,2018,242431
904,44,La Guajira,Total,2019,261180
937,44,La Guajira,Total,2020,278284
970,44,La Guajira,Total,2021,291590
1003,44,La Guajira,Total,2022,303130
1036,44,La Guajira,Total,2023,314732
1069,44,La Guajira,Total,2024,325347
13,44,La Guajira,Total,Unnamed: 0,39
47,47,Magdalena,Total,1993,174464
80,47,Magdalena,Total,1994,181575
113,47,Magdalena,Total,1995,188477
146,47,Magdalena,Total,1996,195283
179,47,Magdalena,Total,1997,201935
212,47,Magdalena,Total,1998,208362
245,47,Magdalena,Total,1999,214653
278,47,Magdalena,Total,2000,220774
311,47,Magdalena,Total,2001,226791
344,47,Magdalena,Total,2002,232610
377,47,Magdalena,Total,2003,238558
410,47,Magdalena,Total,2004,244560
443,47,Magdalena,Total,2005,250730
476,47,Magdalena,Total,2006,257142
509,47,Magdalena,Total,2007,263699
542,47,Magdalena,Total,2008,270389
575,47,Magdalena,Total,2009,277328
608,47,Magdalena,Total,2010,284474
641,47,Magdalena,Total,2011,291867
674,47,Magdalena,Total,2012,299547
707,47,Magdalena,Total,2013,307658
740,47,Magdalena,Total,2014,316179
773,47,Magdalena,Total,2015,325340
806,47,Magdalena,Total,2016,335780
839,47,Magdalena,Total,2017,347769
872,47,Magdalena,Total,2018,363207
905,47,Magdalena,Total,2019,380197
938,47,Magdalena,Total,2020,395659
971,47,Magdalena,Total,2021,407719
1004,47,Magdalena,Total,2022,418169
1037,47,Magdalena,Total,2023,428550
1070,47,Magdalena,Total,2024,438096
14,47,Magdalena,Total,Unnamed: 0,42
48,50,Meta,Total,1993,124472
81,50,Meta,Total,1994,131610
114,50,Meta,Total,1995,138617
147,50,Meta,Total,1996,145678
180,50,Meta,Total,1997,152803
213,50,Meta,Total,1998,160036
246,50,Meta,Total,1999,167282
279,50,Meta,Total,2000,174539
312,50,Meta,Total,2001,181807
345,50,Meta,Total,2002,189103
378,50,Meta,Total,2003,196466
411,50,Meta,Total,2004,203913
444,50,Meta,Total,2005,211583
477,50,Meta,Total,2006,219621
510,50,Meta,Total,2007,227869
543,50,Meta,Total,2008,236404
576,50,Meta,Total,2009,245257
609,50,Meta,Total,2010,254471
642,50,Meta,Total,2011,263994
675,50,Meta,Total,2012,273772
708,50,Meta,Total,2013,283768
741,50,Meta,Total,2014,294083
774,50,Meta,Total,2015,304788
807,50,Meta,Total,2016,316083
840,50,Meta,Total,2017,328074
873,50,Meta,Total,2018,341052
906,50,Meta,Total,2019,349895
939,50,Meta,Total,2020,358678
972,50,Meta,Total,2021,367069
1005,50,Meta,Total,2022,375358
1038,50,Meta,Total,2023,383705
1071,50,Meta,Total,2024,391993
15,50,Meta,Total,Unnamed: 0,45
49,52,Nariño,Total,1993,275497
82,52,Nariño,Total,1994,286115
115,52,Nariño,Total,1995,296377
148,52,Nariño,Total,1996,306215
181,52,Nariño,Total,1997,315630
214,52,Nariño,Total,1998,324631
247,52,Nariño,Total,1999,333223
280,52,Nariño,Total,2000,341711
313,52,Nariño,Total,2001,349906
346,52,Nariño,Total,2002,357786
379,52,Nariño,Total,2003,365663
412,52,Nariño,Total,2004,373721
445,52,Nariño,Total,2005,382092
478,52,Nariño,Total,2006,390970
511,52,Nariño,Total,2007,399999
544,52,Nariño,Total,2008,409104
577,52,Nariño,Total,2009,418479
610,52,Nariño,Total,2010,428441
643,52,Nariño,Total,2011,439156
676,52,Nariño,Total,2012,450639
709,52,Nariño,Total,2013,462914
742,52,Nariño,Total,2014,476214
775,52,Nariño,Total,2015,490872
808,52,Nariño,Total,2016,506855
841,52,Nariño,Total,2017,524064
874,52,Nariño,Total,2018,543653
907,52,Nariño,Total,2019,553139
940,52,Nariño,Total,2020,562840
973,52,Nariño,Total,2021,573220
1006,52,Nariño,Total,2022,584496
1039,52,Nariño,Total,2023,596151
1072,52,Nariño,Total,2024,606849
16,52,Nariño,Total,Unnamed: 0,48
50,54,Norte De Santander,Total,1993,247303
83,54,Norte De Santander,Total,1994,255259
116,54,Norte De Santander,Total,1995,263043
149,54,Norte De Santander,Total,1996,270578
182,54,Norte De Santander,Total,1997,277820
215,54,Norte De Santander,Total,1998,284792
248,54,Norte De Santander,Total,1999,291472
281,54,Norte De Santander,Total,2000,297895
314,54,Norte De Santander,Total,2001,304039
347,54,Norte De Santander,Total,2002,309956
380,54,Norte De Santander,Total,2003,315678
413,54,Norte De Santander,Total,2004,321374
446,54,Norte De Santander,Total,2005,327264
479,54,Norte De Santander,Total,2006,333199
512,54,Norte De Santander,Total,2007,339273
545,54,Norte De Santander,Total,2008,345475
578,54,Norte De Santander,Total,2009,351855
611,54,Norte De Santander,Total,2010,358419
644,54,Norte De Santander,Total,2011,365107
677,54,Norte De Santander,Total,2012,371953
710,54,Norte De Santander,Total,2013,379060
743,54,Norte De Santander,Total,2014,386389
776,54,Norte De Santander,Total,2015,394233
809,54,Norte De Santander,Total,2016,403798
842,54,Norte De Santander,Total,2017,415577
875,54,Norte De Santander,Total,2018,433292
908,54,Norte De Santander,Total,2019,457070
941,54,Norte De Santander,Total,2020,477239
974,54,Norte De Santander,Total,2021,490249
1007,54,Norte De Santander,Total,2022,500202
1040,54,Norte De Santander,Total,2023,510163
1073,54,Norte De Santander,Total,2024,520521
17,54,Norte De Santander,Total,Unnamed: 0,51
51,63,Quindío,Total,1993,117885
84,63,Quindío,Total,1994,121516
117,63,Quindío,Total,1995,125005
150,63,Quindío,Total,1996,128318
183,63,Quindío,Total,1997,131421
216,63,Quindío,Total,1998,134313
249,63,Quindío,Total,1999,136923
282,63,Quindío,Total,2000,139265
315,63,Quindío,Total,2001,141350
348,63,Quindío,Total,2002,143226
381,63,Quindío,Total,2003,144969
414,63,Quindío,Total,2004,146658
447,63,Quindío,Total,2005,148452
480,63,Quindío,Total,2006,150195
513,63,Quindío,Total,2007,152004
546,63,Quindío,Total,2008,153869
579,63,Quindío,Total,2009,155872
612,63,Quindío,Total,2010,158140
645,63,Quindío,Total,2011,160626
678,63,Quindío,Total,2012,163202
711,63,Quindío,Total,2013,165817
744,63,Quindío,Total,2014,168616
777,63,Quindío,Total,2015,171749
810,63,Quindío,Total,2016,175267
843,63,Quindío,Total,2017,179186
876,63,Quindío,Total,2018,183804
909,63,Quindío,Total,2019,188262
942,63,Quindío,Total,2020,192801
975,63,Quindío,Total,2021,197397
1008,63,Quindío,Total,2022,202346
1041,63,Quindío,Total,2023,207604
1074,63,Quindío,Total,2024,212786
18,63,Quindío,Total,Unnamed: 0,54
52,66,Risaralda,Total,1993,183210
85,66,Risaralda,Total,1994,189911
118,66,Risaralda,Total,1995,196409
151,66,Risaralda,Total,1996,202686
184,66,Risaralda,Total,1997,208652
217,66,Risaralda,Total,1998,214251
250,66,Risaralda,Total,1999,219448
283,66,Risaralda,Total,2000,224227
316,66,Risaralda,Total,2001,228577
349,66,Risaralda,Total,2002,232578
382,66,Risaralda,Total,2003,236304
415,66,Risaralda,Total,2004,240018
448,66,Risaralda,Total,2005,243883
481,66,Risaralda,Total,2006,247818
514,66,Risaralda,Total,2007,251809
547,66,Risaralda,Total,2008,255772
580,66,Risaralda,Total,2009,259874
613,66,Risaralda,Total,2010,264388
646,66,Risaralda,Total,2011,269199
679,66,Risaralda,Total,2012,274055
712,66,Risaralda,Total,2013,278864
745,66,Risaralda,Total,2014,283880
778,66,Risaralda,Total,2015,289347
811,66,Risaralda,Total,2016,295377
844,66,Risaralda,Total,2017,301913
877,66,Risaralda,Total,2018,309408
910,66,Risaralda,Total,2019,316421
943,66,Risaralda,Total,2020,323553
976,66,Risaralda,Total,2021,330682
1009,66,Risaralda,Total,2022,338389
1042,66,Risaralda,Total,2023,346519
1075,66,Risaralda,Total,2024,354439
19,66,Risaralda,Total,Unnamed: 0,57
53,68,Santander,Total,1993,360018
86,68,Santander,Total,1994,372560
119,68,Santander,Total,1995,385047
152,68,Santander,Total,1996,397447
185,68,Santander,Total,1997,409637
218,68,Santander,Total,1998,421634
251,68,Santander,Total,1999,433340
284,68,Santander,Total,2000,444814
317,68,Santander,Total,2001,456023
350,68,Santander,Total,2002,467037
383,68,Santander,Total,2003,477944
416,68,Santander,Total,2004,488945
449,68,Santander,Total,2005,500107
482,68,Santander,Total,2006,511775
515,68,Santander,Total,2007,523785
548,68,Santander,Total,2008,536168
581,68,Santander,Total,2009,549028
614,68,Santander,Total,2010,562416
647,68,Santander,Total,2011,576268
680,68,Santander,Total,2012,590527
713,68,Santander,Total,2013,605313
746,68,Santander,Total,2014,620688
779,68,Santander,Total,2015,636962
812,68,Santander,Total,2016,654838
845,68,Santander,Total,2017,674663
878,68,Santander,Total,2018,698582
911,68,Santander,Total,2019,722541
944,68,Santander,Total,2020,744818
977,68,Santander,Total,2021,763251
1010,68,Santander,Total,2022,780023
1043,68,Santander,Total,2023,796871
1076,68,Santander,Total,2024,815604
20,68,Santander,Total,Unnamed: 0,60
54,70,Sucre,Total,1993,136234
87,70,Sucre,Total,1994,139844
120,70,Sucre,Total,1995,143465
153,70,Sucre,Total,1996,147066
186,70,Sucre,Total,1997,150626
219,70,Sucre,Total,1998,154171
252,70,Sucre,Total,1999,157661
285,70,Sucre,Total,2000,161143
318,70,Sucre,Total,2001,164606
351,70,Sucre,Total,2002,168011
384,70,Sucre,Total,2003,171387
417,70,Sucre,Total,2004,174769
450,70,Sucre,Total,2005,178284
483,70,Sucre,Total,2006,181869
516,70,Sucre,Total,2007,185672
549,70,Sucre,Total,2008,189677
582,70,Sucre,Total,2009,193935
615,70,Sucre,Total,2010,198462
648,70,Sucre,Total,2011,203282
681,70,Sucre,Total,2012,208358
714,70,Sucre,Total,2013,213755
747,70,Sucre,Total,2014,219477
780,70,Sucre,Total,2015,225634
813,70,Sucre,Total,2016,232487
846,70,Sucre,Total,2017,240195
879,70,Sucre,Total,2018,249562
912,70,Sucre,Total,2019,259095
945,70,Sucre,Total,2020,268117
978,70,Sucre,Total,2021,275827
1011,70,Sucre,Total,2022,282936
