,Código Departamento,Nombre Departamento,Área,Año,Hogares,Viviendas
262,19,Cauca,Total,2024,599202,502282
263,19,Cauca,Total,Unnamed: 0,21,21
264,20,Cesar,Total,1993,143769,138439
265,20,Cesar,Total,1994,149986,144404
266,20,Cesar,Total,1995,156136,150300
267,20,Cesar,Total,1996,162231,156138
268,20,Cesar,Total,1997,168273,161920
269,20,Cesar,Total,1998,174322,167700
270,20,Cesar,Total,1999,180372,173489
271,20,Cesar,Total,2000,186345,179180
272,20,Cesar,Total,2001,192258,184801
273,20,Cesar,Total,2002,198140,190381
274,20,Cesar,Total,2003,204030,195950
275,20,Cesar,Total,2004,209909,201484
276,20,Cesar,Total,2005,215960,207151
277,20,Cesar,Total,2006,222187,212942
278,20,Cesar,Total,2007,228771,219025
279,20,Cesar,Total,2008,235743,225421
280,20,Cesar,Total,2009,243163,232182
281,20,Cesar,Total,2010,251012,239284
282,20,Cesar,Total,2011,259275,246707
283,20,Cesar,Total,2012,268064,254556
284,20,Cesar,Total,2013,277472,262916
285,20,Cesar,Total,2014,287538,271827
286,20,Cesar,Total,2015,298416,281436
287,20,Cesar,Total,2016,310857,292455
288,20,Cesar,Total,2017,325214,305221
289,20,Cesar,Total,2018,343460,321581
290,20,Cesar,Total,2019,363059,339931
291,20,Cesar,Total,2020,381066,356790
292,20,Cesar,Total,2021,395417,370226
293,20,Cesar,Total,2022,407987,381996
294,20,Cesar,Total,2023,420487,393698
295,20,Cesar,Total,2024,433523,405904
296,20,Cesar,Total,Unnamed: 0,24,24
297,23,Córdoba,Total,1993,268600,258155
298,23,Córdoba,Total,1994,275417,264649
299,23,Córdoba,Total,1995,282225,271131
300,23,Córdoba,Total,1996,289132,277705
301,23,Córdoba,Total,1997,296043,284277
302,23,Córdoba,Total,1998,302968,290856
303,23,Córdoba,Total,1999,309971,297496
304,23,Córdoba,Total,2000,317028,304167
305,23,Córdoba,Total,2001,324154,310870
306,23,Córdoba,Total,2002,331494,317730
307,23,Córdoba,Total,2003,339034,324710
308,23,Córdoba,Total,2004,346897,331898
309,23,Córdoba,Total,2005,355126,339290
310,23,Córdoba,Total,2006,363905,347017
311,23,Córdoba,Total,2007,373205,354978
312,23,Córdoba,Total,2008,383071,363137
313,23,Córdoba,Total,2009,393613,371509
314,23,Córdoba,Total,2010,404904,380082
315,23,Córdoba,Total,2011,417054,388900
316,23,Córdoba,Total,2012,430127,398017
317,23,Córdoba,Total,2013,444259,407617
318,23,Córdoba,Total,2014,459545,417932
