,Código Departamento,Nombre Departamento,Área,Año,Viviendas
572,27,Chocó,Total,2009,106039
605,27,Chocó,Total,2010,110031
638,27,Chocó,Total,2011,114150
671,27,Chocó,Total,2012,118438
704,27,Chocó,Total,2013,122964
737,27,Chocó,Total,2014,127718
770,27,Chocó,Total,2015,132821
803,27,Chocó,Total,2016,138204
836,27,Chocó,Total,2017,143930
869,27,Chocó,Total,2018,149951
902,27,Chocó,Total,2019,154152
935,27,Chocó,Total,2020,158406
968,27,Chocó,Total,2021,162602
1001,27,Chocó,Total,2022,166796
1034,27,Chocó,Total,2023,170917
1067,27,Chocó,Total,2024,175022
11,27,Chocó,Total,Unnamed: 0,33
45,41,Huila,Total,1993,160182
78,41,Huila,Total,1994,166306
111,41,Huila,Total,1995,172294
144,41,Huila,Total,1996,178153
177,41,Huila,Total,1997,183868
210,41,Huila,Total,1998,189423
243,41,Huila,Total,1999,194820
276,41,Huila,Total,2000,200059
309,41,Huila,Total,2001,205190
342,41,Huila,Total,2002,210188
375,41,Huila,Total,2003,215164
408,41,Huila,Total,2004,220151
441,41,Huila,Total,2005,225294
474,41,Huila,Total,2006,230538
507,41,Huila,Total,2007,235957
540,41,Huila,Total,2008,241539
573,41,Huila,Total,2009,247400
606,41,Huila,Total,2010,253558
639,41,Huila,Total,2011,260063
672,41,Huila,Total,2012,266883
705,41,Huila,Total,2013,274046
738,41,Huila,Total,2014,281658
771,41,Huila,Total,2015,289795
804,41,Huila,Total,2016,298590
837,41,Huila,Total,2017,308093
870,41,Huila,Total,2018,318602
903,41,Huila,Total,2019,326692
936,41,Huila,Total,2020,334925
969,41,Huila,Total,2021,343089
1002,41,Huila,Total,2022,351340
1035,41,Huila,Total,2023,359682
1068,41,Huila,Total,2024,366740
12,41,Huila,Total,Unnamed: 0,36
46,44,La Guajira,Total,1993,81261
79,44,La Guajira,Total,1994,83993
112,44,La Guajira,Total,1995,86682
145,44,La Guajira,Total,1996,89312
178,44,La Guajira,Total,1997,91933
211,44,La Guajira,Total,1998,94620
244,44,La Guajira,Total,1999,97335
277,44,La Guajira,Total,2000,100118
310,44,La Guajira,Total,2001,103000
343,44,La Guajira,Total,2002,106048
376,44,La Guajira,Total,2003,109326
409,44,La Guajira,Total,2004,112858
442,44,La Guajira,Total,2005,116720
475,44,La Guajira,Total,2006,121096
508,44,La Guajira,Total,2007,125932
541,44,La Guajira,Total,2008,131284
574,44,La Guajira,Total,2009,137177
607,44,La Guajira,Total,2010,143655
640,44,La Guajira,Total,2011,150679
673,44,La Guajira,Total,2012,158317
706,44,La Guajira,Total,2013,166676
739,44,La Guajira,Total,2014,175749
772,44,La Guajira,Total,2015,185760
805,44,La Guajira,Total,2016,197399
838,44,La Guajira,Total,2017,211134
871,44,La Guajira,Total,2018,229080
904,44,La Guajira,Total,2019,246878
937,44,La Guajira,Total,2020,263124
970,44,La Guajira,Total,2021,275760
1003,44,La Guajira,Total,2022,286706
1036,44,La Guajira,Total,2023,297699
1069,44,La Guajira,Total,2024,307773
13,44,La Guajira,Total,Unnamed: 0,39
47,47,Magdalena,Total,1993,162820
80,47,Magdalena,Total,1994,169471
113,47,Magdalena,Total,1995,175931
146,47,Magdalena,Total,1996,182305
179,47,Magdalena,Total,1997,188535
212,47,Magdalena,Total,1998,194559
245,47,Magdalena,Total,1999,200456
278,47,Magdalena,Total,2000,206195
311,47,Magdalena,Total,2001,211825
344,47,Magdalena,Total,2002,217272
377,47,Magdalena,Total,2003,222833
410,47,Magdalena,Total,2004,228435
443,47,Magdalena,Total,2005,234183
476,47,Magdalena,Total,2006,240144
509,47,Magdalena,Total,2007,246223
542,47,Magdalena,Total,2008,252405
575,47,Magdalena,Total,2009,258799
608,47,Magdalena,Total,2010,265361
641,47,Magdalena,Total,2011,272126
674,47,Magdalena,Total,2012,279135
707,47,Magdalena,Total,2013,286519
740,47,Magdalena,Total,2014,294265
773,47,Magdalena,Total,2015,302590
806,47,Magdalena,Total,2016,312091
839,47,Magdalena,Total,2017,323028
872,47,Magdalena,Total,2018,337167
905,47,Magdalena,Total,2019,353009
938,47,Magdalena,Total,2020,367434
971,47,Magdalena,Total,2021,378696
1004,47,Magdalena,Total,2022,388462
1037,47,Magdalena,Total,2023,398163
1070,47,Magdalena,Total,2024,407107
14,47,Magdalena,Total,Unnamed: 0,42
48,50,Meta,Total,1993,112811
81,50,Meta,Total,1994,119223
114,50,Meta,Total,1995,125602
147,50,Meta,Total,1996,132028
180,50,Meta,Total,1997,138507
213,50,Meta,Total,1998,145082
246,50,Meta,Total,1999,151673
279,50,Meta,Total,2000,158295
312,50,Meta,Total,2001,164974
345,50,Meta,Total,2002,171742
378,50,Meta,Total,2003,178654
411,50,Meta,Total,2004,185732
444,50,Meta,Total,2005,193108
477,50,Meta,Total,2006,200918
510,50,Meta,Total,2007,209021
543,50,Meta,Total,2008,217487
576,50,Meta,Total,2009,226344
609,50,Meta,Total,2010,235629
642,50,Meta,Total,2011,245285
675,50,Meta,Total,2012,255253
708,50,Meta,Total,2013,265480
741,50,Meta,Total,2014,276043
774,50,Meta,Total,2015,286991
807,50,Meta,Total,2016,298494
840,50,Meta,Total,2017,310639
873,50,Meta,Total,2018,323691
906,50,Meta,Total,2019,332863
939,50,Meta,Total,2020,341925
